Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Property amenities OPI ID,Property amenities icon,Category,Amenity category
24/7 security,24-7-security,68b6430b4a9e88007d3f6935,68ada6f5bc65af392b69f8d6,694ae2ab6329611109ede795,false,false,Tue Dec 23 2025 18:42:51 GMT+0000 (Coordinated Universal Time),Tue Jan 20 2026 02:09:00 GMT+0000 (Coordinated Universal Time),Tue Jan 20 2026 02:22:36 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/68ada6f5bc65af392b69f8d7/696ee165d4a00eaaadec3306_shield.svg,Building & Resident Facilities,
ATM access,atm-access,68b6430b4a9e88007d3f6935,68ada6f5bc65af392b69f8d6,694ae526b717ab2145c3d9b6,false,false,Tue Dec 23 2025 18:53:26 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 19:11:13 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 10:54:52 GMT+0000 (Coordinated Universal Time),,,Convenience & Retail,
Access control system,access-control-system,68b6430b4a9e88007d3f6935,68ada6f5bc65af392b69f8d6,694ae8f2ea75b8ddb2abcf04,false,false,Tue Dec 23 2025 19:09:38 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 19:11:13 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 10:54:52 GMT+0000 (Coordinated Universal Time),,,Safety & Accessibility,
Accessible units,accessible-units,68b6430b4a9e88007d3f6935,68ada6f5bc65af392b69f8d6,694ae90a8c06928d399fe301,false,false,Tue Dec 23 2025 19:10:02 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 19:11:13 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 10:54:52 GMT+0000 (Coordinated Universal Time),,,Safety & Accessibility,
Airbnb-friendly building,airbnb-friendly-building,68b6430b4a9e88007d3f6935,68ada6f5bc65af392b69f8d6,694ae92c00ae375ac3544721,false,false,Tue Dec 23 2025 19:10:36 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 19:11:13 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 10:54:52 GMT+0000 (Coordinated Universal Time),,,Investment & Rental-Friendly,
BBQ area,bbq-area,68b6430b4a9e88007d3f6935,68ada6f5bc65af392b69f8d6,694ae24960f982be589eec77,false,false,Tue Dec 23 2025 18:41:13 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 18:50:57 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 10:54:52 GMT+0000 (Coordinated Universal Time),,,Outdoor & Community Spaces,
Balcony,balcony,68b6430b4a9e88007d3f6935,68ada6f5bc65af392b69f8d6,694ae2f7ecb91a09cd8ec834,false,false,Tue Dec 23 2025 18:44:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 18:50:56 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 10:54:52 GMT+0000 (Coordinated Universal Time),,,Apartment / Unit Features,
Basement parking,basement-parking,68b6430b4a9e88007d3f6935,68ada6f5bc65af392b69f8d6,694ae3b90a12f25d0b0fd48b,false,false,Tue Dec 23 2025 18:47:21 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 18:50:56 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 10:54:52 GMT+0000 (Coordinated Universal Time),,,Parking & Transport,
Basketball court,basketball-court,68b6430b4a9e88007d3f6935,68ada6f5bc65af392b69f8d6,694ae20457cd6e176af3577c,false,false,Tue Dec 23 2025 18:40:04 GMT+0000 (Coordinated Universal Time),Tue Jan 20 2026 02:09:00 GMT+0000 (Coordinated Universal Time),Tue Jan 20 2026 02:22:36 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/68ada6f5bc65af392b69f8d7/696edda6facb311f86f9daa1_court-basketball.svg,Fitness & Sports,
Bicycle parking,bicycle-parking,68b6430b4a9e88007d3f6935,68ada6f5bc65af392b69f8d6,694ae4370a12f25d0b0ff490,false,false,Tue Dec 23 2025 18:49:27 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 18:50:56 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 10:54:52 GMT+0000 (Coordinated Universal Time),,,Parking & Transport,
